"","Name","Team","Gm","season","Age","Salary","AAV","Sv%","AdSv%","SA60","TOI","Sv%L","Sv%M","Sv%H","G","S","Sh","G.L","S.L","G.M","S.M","G.H","S.H"
"kinkake89-20142015","Keith.Kinkaid","N.J",19,"20142015",25,"0.600","0.600",91.47,91.68,30.46,923.8,95.09,90.77,85.22,40,429,469,11,213,12,118,17,98
"holtbbr89-20132014","Braden.Holtby","WSH",48,"20132014",23,"1.700","1.850",91.46,91.87,33.35,2653.6,96.29,90.95,83.24,126,1349,1475,25,649,39,392,62,308
"halakja85-20082009","Jaroslav.Halak","MTL",34,"20082009",23,"0.750","0.775",91.46,92.51,33.49,1929.7,97.31,91.77,82.86,92,985,1077,12,434,26,290,54,261
"kuempda90-20132014","Darcy.Kuemper","MIN",26,"20132014",23,"0.900","0.777",91.45,91.47,28.46,1480.2,97.42,90.21,79.87,60,642,702,9,340,19,175,32,127
"dubnyde86-20112012","Devan.Dubnyk","EDM",47,"20112012",25,"0.800","0.800",91.45,92.46,31.23,2651.5,95.58,93.28,84.9,118,1262,1380,25,541,24,333,69,388
"niemian83-20142015","Antti.Niemi","S.J",61,"20142015",31,"4.000","3.800",91.44,92.21,30.3,3586.2,96.78,93.1,81.45,155,1656,1811,27,812,31,418,97,426
"lehtoka83-20102011","Kari.Lehtonen","DAL",69,"20102011",26,"2.700","3.550",91.43,92.02,29.77,4117.6,96.07,92.82,82.49,175,1868,2043,35,855,43,556,97,457
"anderfr89-20142015","Frederik.Andersen","ANA",54,"20142015",24,"1.000","1.150",91.43,91.96,27.75,3104.7,96.15,92.35,82.53,123,1313,1436,26,649,28,338,69,326
"quickjo86-20082009","Jonathan.Quick","L.A",44,"20082009",22,"0.550","0.560",91.42,91.86,28.88,2493,95.42,93.04,82.97,103,1097,1200,24,500,25,334,54,263
"ellisda80-20142015","Dan.Ellis","FLA",8,"20142015",34,"1.000","0.900",91.4,91.42,27.26,486.4,91.89,94.55,87.27,19,202,221,9,102,3,52,7,48
"halakja85-20142015","Jaroslav.Halak","NYI",59,"20142015",29,"3.500","4.500",91.39,92.36,28.29,3548.3,95.59,91.51,86.21,144,1529,1673,29,629,40,431,75,469
"gibsojo93-20142015","John.Gibson","ANA",23,"20142015",21,"0.787","0.722",91.39,91.72,30.2,1339.1,98.51,89.35,79.41,58,616,674,5,330,18,151,35,135
"andercr81-20112012","Craig.Anderson","OTT",63,"20112012",30,"2.750","3.188",91.39,92.22,32.97,3489.1,97.12,91.89,81.98,165,1752,1917,25,844,40,453,100,455
"pavelon87-20102011","Ondrej.Pavelec","ATL",58,"20102011",23,"1.000","1.150",91.38,92.42,31.75,3222.4,97.24,93.08,81.35,147,1558,1705,20,704,33,444,94,410
"neuvimi88-20142015","Michal.Neuvirth","BUF/NYI",32,"20142015",26,"2.600","2.500",91.38,92.19,34.63,1848.7,97.2,90.68,82.88,92,975,1067,13,451,29,282,50,242
"neuvimi88-20092010","Michal.Neuvirth","WSH",17,"20092010",21,"0.850","0.822",91.38,92.12,31.94,871.7,97,94.16,79.53,40,424,464,6,194,8,129,26,101
"nabokev75-20112012","Evgeni.Nabokov","NYI",42,"20112012",36,"0.570","0.570",91.38,92,29.57,2377.7,96.05,92.36,82.87,101,1071,1172,21,510,24,290,56,271
"hutchmi90-20142015","Michael.Hutchinson","WPG",38,"20142015",24,"0.550","0.575",91.38,92.03,27.68,2137,96.67,91.67,82.35,85,901,986,15,435,22,242,48,224
"auldxal81-20102011","Alex.Auld","MTL",16,"20102011",29,"1.000","1.000",91.38,92.6,30.72,748.1,97.01,93.55,82.11,33,350,383,5,162,6,87,22,101
"mcelhcu83-20142015","Curtis.McElhinney","CBJ",32,"20142015",31,"0.650","0.650",91.36,92.15,33.29,1710.3,97.29,91.81,81.39,82,867,949,12,431,19,213,51,223
"rolosdw69-20102011","Dwayne.Roloson","NYI/T.B",54,"20102011",40,"3.000","2.500",91.35,92.1,29.95,3196.8,96.91,91.76,82.06,138,1458,1596,22,691,36,401,80,366
"fleurma84-20112012","Marc-Andre.Fleury","PIT",67,"20112012",26,"5.500","5.000",91.35,92.93,27.24,3894,98.21,92.83,81.62,153,1615,1768,13,713,33,427,107,475
"budajpe82-20112012","Peter.Budaj","MTL",17,"20112012",28,"1.100","1.150",91.34,92.21,29.45,1035.1,96.96,93.89,80.27,44,464,508,7,223,8,123,29,118
"clemmsc77-20112012","Scott.Clemmensen","FLA",30,"20112012",34,"1.500","1.200",91.33,91.32,29.64,1564.9,95.24,92.17,82.02,67,706,773,18,360,17,200,32,146
"lehnero91-20132014","Robin.Lehner","OTT",36,"20132014",22,"0.810","0.870",91.32,91.86,35.24,1942.5,96.64,90.91,82.47,99,1042,1141,18,518,27,270,54,254
"allenja90-20142015","Jake.Allen","STL",37,"20142015",24,"0.850","0.800",91.31,91.99,26.26,2076.6,95.61,91.32,84.82,79,830,909,17,370,23,242,39,218
"varlase88-20112012","Semyon.Varlamov","COL",53,"20112012",23,"2.500","2.833",91.3,92.3,29.81,3148.3,97.34,92.95,80.77,136,1428,1564,19,694,27,356,90,378
"masonch76-20092010","Chris.Mason","STL",61,"20092010",33,"3.000","3.000",91.29,92.08,29.05,3510.8,96.55,92.62,81.89,148,1552,1700,26,727,34,427,88,398
"greisth86-20092010","Thomas.Greiss","S.J",15,"20092010",23,"0.550","0.550",91.29,92.49,31.42,723.7,97.45,89,85.25,33,346,379,4,153,11,89,18,104
"turcoma75-20092010","Marty.Turco","DAL",53,"20092010",34,"5.400","5.700",91.28,91.96,31.21,3085.8,96.3,93.41,81.15,140,1465,1605,27,702,28,397,85,366
"luongro79-20092010","Roberto.Luongo","VAN",68,"20092010",30,"7.500","6.750",91.28,92.37,29.49,3896.4,97.22,92.65,81.63,167,1748,1915,22,769,41,517,104,462
"gigueje77-20132014","Jean-Sebastien.Giguere","COL",22,"20132014",36,"1.500","1.500",91.28,92.53,30.12,1211,96.81,96.43,79.37,53,555,608,8,243,6,162,39,150
"niemian83-20132014","Antti.Niemi","S.J",64,"20132014",30,"4.000","3.800",91.27,91.96,27.39,3737.3,97.15,89.94,82.75,149,1557,1706,22,749,48,429,79,379
"andercr81-20102011","Craig.Anderson","COL/OTT",51,"20102011",29,"2.125","1.812",91.27,91.98,32.39,2863.8,97.19,94.91,77.8,135,1411,1546,19,656,23,429,93,326
"hillejo82-20122013","Jonas.Hiller","ANA",26,"20122013",30,"4.500","4.500",91.26,92,27.04,1497.6,94.34,94.44,84.51,59,616,675,18,300,8,136,33,180
"bernijo88-20102011","Jonathan.Bernier","L.A",25,"20102011",22,"0.765","0.793",91.26,91.8,28.41,1376.9,96.54,93.23,80.12,57,595,652,10,279,13,179,34,137
"hedbejo73-20102011","Johan.Hedberg","N.J",34,"20102011",37,"1.000","1.000",91.25,91.96,27.15,1717.1,96.37,92.93,81.45,68,709,777,13,345,14,184,41,180
"zatkoje87-20132014","Jeff.Zatkoff","PIT",20,"20132014",26,"0.550","0.537",91.24,91.92,29.82,1170.9,97.75,89.44,81.82,51,531,582,6,261,17,144,28,126
"priceca87-20092010","Carey.Price","MTL",41,"20092010",22,"0.850","0.850",91.24,91.75,31.66,2357.2,97.23,92.98,78.7,109,1135,1244,16,562,24,318,69,255
"niittan80-20082009","Antero.Niittymaki","PHI",32,"20082009",28,"1.375","1.225",91.24,91.84,31.49,1804.3,96.83,92.34,80.54,83,864,947,14,428,19,229,50,207
"niemian83-20092010","Antti.Niemi","CHI",39,"20092010",26,"0.827","0.827",91.24,92.14,25.65,2189.7,95.75,93.15,83.33,82,854,936,17,383,17,231,48,240
"fleurma84-20082009","Marc-Andre.Fleury","PIT",62,"20082009",23,"3.500","5.000",91.24,92.07,30.5,3639.1,97.02,93.01,80.43,162,1688,1850,23,749,40,532,99,407
"bernijo88-20142015","Jonathan.Bernier","TOR",58,"20142015",26,"3.400","2.900",91.24,92.19,32.79,3174.7,96.1,91.8,84.12,152,1583,1735,28,690,40,448,84,445
"neuvimi88-20102011","Michal.Neuvirth","WSH",47,"20102011",22,"0.765","0.822",91.23,92.01,28.64,2627,96.59,91.45,82.68,110,1144,1254,19,538,29,310,62,296
"macdojo80-20112012","Joey.MacDonald","DET",14,"20112012",31,"0.550","0.550",91.21,92.52,24.59,805.1,98.72,97.4,74.23,29,301,330,2,154,2,75,25,72
"lindban88-20112012","Anders.Lindback","NSH",16,"20112012",23,"0.738","0.688",91.21,92.09,27.61,791.1,95.93,93.75,82.14,32,332,364,7,165,5,75,20,92
"irvinle88-20112012","Leland.Irving","CGY",7,"20112012",23,"0.600","0.600",91.21,91.97,36.37,394.3,97,90,83.05,21,218,239,3,97,8,72,10,49
"ramoxka86-20142015","Karri.Ramo","CGY",34,"20142015",28,"2.900","2.750",91.2,92.3,29.51,1732.1,96.94,91.7,82.89,75,777,852,11,349,19,210,45,218
"tellqmi79-20082009","Mikael.Tellqvist","PHX/BUF",21,"20082009",28,"0.800","0.800",91.18,91.74,31.26,1023.1,97.24,93.43,78.17,47,486,533,7,247,9,128,31,111
"clemmsc77-20092010","Scott.Clemmensen","FLA",23,"20092010",32,"1.000","1.200",91.17,92.23,32.99,1214.8,97.1,89.85,84.1,59,609,668,8,268,20,177,31,164
"lackxed88-20132014","Eddie.Lack","VAN",41,"20132014",25,"0.850","0.750",91.16,91.77,27.22,2318.6,96.38,92.33,81.27,93,959,1052,17,452,23,277,53,230
"labarja80-20112012","Jason.Labarbera","PHX",19,"20112012",31,"1.200","1.250",91.15,91.46,28.8,1012.5,94.85,92.8,82.81,43,443,486,12,221,9,116,22,106
"auldxal81-20082009","Alex.Auld","OTT",43,"20082009",27,"1.000","1.000",91.15,92.09,27.97,2447.3,96.14,90.5,84.91,101,1040,1141,18,448,32,305,51,287
"sanfocu79-20112012","Curtis.Sanford","CBJ",36,"20112012",31,"0.600","0.600",91.14,91.36,29.45,1978.3,96.11,94.36,78.1,86,885,971,18,445,15,251,53,189
"lehtoka83-20092010","Kari.Lehtonen","DAL",12,"20092010",25,"3.000","3.000",91.14,93.03,31.75,661.5,99.25,93.33,79.28,31,319,350,1,133,7,98,23,88
"dominlo92-20142015","Louis.Domingue","ARI",7,"20142015",22,"0.550","0.578",91.14,92.25,30.78,308,98.57,87.5,83.33,14,144,158,1,69,5,35,8,40
"enrotjh88-20132014","Jhonas.Enroth","BUF",28,"20132014",25,"1.250","1.250",91.13,91.97,31.79,1574.1,96.02,89.92,85.25,74,760,834,14,338,24,214,36,208
"clemmsc77-20102011","Scott.Clemmensen","FLA",31,"20102011",33,"1.100","1.200",91.13,91.7,29.52,1695.3,97.64,92.44,78.14,74,760,834,9,372,18,220,47,168
"ramoxka86-20132014","Karri.Ramo","CGY",40,"20132014",27,"2.600","2.750",91.12,92.05,29.89,2192,96.41,91.72,82.98,97,995,1092,17,456,24,266,56,273
"ellisda80-20112012","Dan.Ellis","ANA",10,"20112012",31,"1.500","1.500",91.12,91.72,30.71,418.1,95.1,91.3,84.85,19,195,214,5,97,4,42,10,56
"rinnepe82-20092010","Pekka.Rinne","NSH",58,"20092010",26,"0.725","0.725",91.11,92.09,28.52,3242.3,97.51,93.29,79.19,137,1404,1541,17,665,28,389,92,350
"raycran80-20092010","Andrew.Raycroft","VAN",21,"20092010",29,"0.500","0.500",91.1,92.4,27.21,965.9,97.75,89.76,83.46,39,399,438,4,174,13,114,22,111
"hillejo82-20132014","Jonas.Hiller","ANA",50,"20132014",31,"4.500","4.500",91.1,92.11,27.86,2905.4,96.97,91.33,82.4,120,1229,1349,18,576,30,316,72,337
"millery80-20142015","Ryan.Miller","VAN",45,"20142015",34,"6.000","6.000",91.08,91.76,28.33,2539.6,96.07,88.12,86.09,107,1092,1199,21,513,38,282,48,297
"andercr81-20132014","Craig.Anderson","OTT",53,"20132014",32,"3.500","3.188",91.08,91.51,33.64,2998,96.72,92.57,79.19,150,1531,1681,27,795,31,386,92,350
"gustajo84-20142015","Jonas.Gustavsson","DET",7,"20142015",29,"1.850","1.850",91.07,90.78,28.73,350.8,97.37,98.11,69.23,15,153,168,2,74,1,52,12,27
"bachmri87-20142015","Richard.Bachman","EDM",6,"20142015",27,"0.615","0.615",91.07,92.41,31.82,316.8,98.59,89.13,82.35,15,153,168,1,70,5,41,9,42
"reimeja88-20132014","James.Reimer","TOR",36,"20132014",25,"1.600","1.800",91.05,91.68,36.86,1782.4,96.97,89.87,82.04,98,997,1095,15,480,32,284,51,233
"lehtoka83-20082009","Kari.Lehtonen","ATL",46,"20082009",24,"3.000","3.000",91.05,92.3,34.29,2621.2,97.25,92.6,81.3,134,1364,1498,17,602,31,388,86,374
"wardxca84-20142015","Cam.Ward","CAR",51,"20142015",30,"6.700","6.300",91.04,91.83,26.8,3024.8,97.39,91.85,79.78,121,1230,1351,16,596,30,338,75,296
"smithmi82-20122013","Mike.Smith","PHX",34,"20122013",30,"2.000","2.000",91.04,91.9,28.77,1956,95.72,89.52,86.01,84,854,938,17,380,26,222,41,252
"howarji84-20142015","Jimmy.Howard","DET",53,"20142015",30,"6.000","5.292",91.04,91.42,27.28,2968.8,96.61,91.24,80.4,121,1229,1350,22,627,31,323,68,279
"halakja85-20102011","Jaroslav.Halak","STL",57,"20102011",25,"2.750","3.750",91.04,92.06,27.68,3290.5,96,92.2,83.4,136,1382,1518,25,600,33,390,78,392
"raycran80-20102011","Andrew.Raycroft","DAL",19,"20102011",30,"0.700","0.650",91.03,92.45,31.58,847.4,98.48,92.59,79.29,40,406,446,3,195,8,100,29,111
"howarji84-20132014","Jimmy.Howard","DET",51,"20132014",29,"5.500","5.292",91.03,91.88,29.65,2999.3,96.63,90.48,83.02,133,1349,1482,22,631,38,361,73,357
"khabini73-20112012","Nikolai.Khabibulin","EDM",40,"20112012",38,"3.750","3.750",91.02,92.52,29.6,2258.2,96.36,94.54,82.2,100,1014,1114,16,423,16,277,68,314
"fernama74-20082009","Manny.Fernandez","BOS",28,"20082009",34,"4.750","4.333",91.02,92.46,28.88,1643.2,97.06,92.11,82.88,71,720,791,9,297,18,210,44,213
"rinnepe82-20122013","Pekka.Rinne","NSH",43,"20122013",29,"7.000","7.000",91.01,91.37,27.04,2443.4,96.72,90.91,80.29,99,1002,1101,17,502,28,280,54,220
"neuvimi88-20122013","Michal.Neuvirth","WSH",13,"20122013",24,"1.150","1.150",91.01,91.27,30.46,722.9,96.39,92.11,79.38,33,334,367,7,187,6,70,20,77
"danisya81-20082009","Yann.Danis","NYI",31,"20082009",27,"0.550","0.550",91,92.22,31.83,1758.7,96.64,91.44,83.45,84,849,933,12,345,25,267,47,237
"bachmri87-20112012","Richard.Bachman","DAL",18,"20112012",24,"0.550","0.550",90.99,91.25,30.69,932.6,93.69,92.97,84.25,43,434,477,14,208,9,119,20,107
"nabokev75-20082009","Evgeni.Nabokov","S.J",62,"20082009",33,"5.500","5.375",90.98,91.98,27.08,3684.1,96.44,92.49,81.82,150,1513,1663,26,705,32,394,92,414
"tokardu89-20142015","Dustin.Tokarski","MTL",17,"20142015",24,"0.550","0.562",90.96,91.64,30.4,1004.5,97.84,93.01,76.87,46,463,509,5,227,10,133,31,103
"nabokev75-20122013","Evgeni.Nabokov","NYI",41,"20122013",37,"2.750","2.750",90.96,92.1,27.62,2474.2,96.56,91.33,83.23,103,1036,1139,15,421,32,337,56,278
"varlase88-20092010","Semyon.Varlamov","WSH",26,"20092010",21,"0.850","0.822",90.95,91.09,28.2,1527.7,92.46,91.7,87.5,65,653,718,23,282,19,210,23,161
"mcelhcu83-20132014","Curtis.McElhinney","CBJ",29,"20132014",30,"0.600","0.600",90.95,90.87,29.69,1428.9,97.22,88.89,79.11,64,643,707,10,350,21,168,33,125
"huttoca85-20132014","Carter.Hutton","NSH",40,"20132014",27,"0.550","0.550",90.95,91.25,28.96,2084.2,97.88,90.07,78.11,91,915,1006,10,461,30,272,51,182
"bishobe86-20112012","Ben.Bishop","OTT",10,"20112012",24,"0.600","0.600",90.95,91.23,27.44,531.3,97.52,83.87,85,22,221,243,3,118,10,52,9,51
"labarja80-20102011","Jason.Labarbera","PHX",17,"20102011",30,"1.000","1.000",90.93,92.11,35.97,882.5,96.57,91.57,83.02,48,481,529,7,197,14,152,27,132
"bryzgil80-20112012","Ilya.Bryzgalov","PHI",60,"20112012",31,"10.000","5.667",90.93,91.73,27.32,3413.5,97.21,91.41,80.23,141,1413,1554,20,698,34,362,87,353
"ellisda80-20092010","Dan.Ellis","NSH",31,"20092010",29,"2.000","1.750",90.92,91.95,29.7,1713.3,97.22,91.53,80.99,77,771,848,11,385,16,173,50,213
"conklty76-20082009","Ty.Conklin","DET",39,"20082009",32,"0.750","0.750",90.91,91.65,27.55,2180.1,96.17,89.74,83.8,91,910,1001,17,427,28,245,46,238
"bryzgil80-20132014","Ilya.Bryzgalov","EDM/MIN",32,"20132014",33,"8.000","5.667",90.91,91.7,29.49,1812.9,96,91.23,82.89,81,810,891,16,384,20,208,45,218
"huetxcr75-20082009","Cristobal.Huet","CHI",41,"20082009",33,"5.625","5.625",90.89,92.46,27.77,2348.5,97.42,94.32,79.89,99,988,1087,12,453,15,249,72,286
"budajpe82-20132014","Peter.Budaj","MTL",24,"20132014",30,"1.400","1.400",90.89,91.63,27.6,1337.1,97.32,91.84,79.11,56,559,615,7,254,16,180,33,125
"hillejo82-20112012","Jonas.Hiller","ANA",72,"20112012",29,"4.500","4.500",90.88,91.76,28.46,4183.1,95.95,90.28,84.2,181,1803,1984,36,852,45,418,100,533
"budajpe82-20122013","Peter.Budaj","MTL",13,"20122013",29,"1.200","1.150",90.88,91,25.04,656.5,94.7,94.59,79.41,25,249,274,7,125,4,70,14,54
"khabini73-20092010","Nikolai.Khabibulin","EDM",18,"20092010",36,"3.750","3.750",90.86,91.68,33.2,1087.8,96.35,91.45,81.82,55,547,602,10,264,13,139,32,144
"bernijo88-20112012","Jonathan.Bernier","L.A",16,"20112012",23,"0.975","1.250",90.86,91.64,25.83,889.8,98.29,89.72,79.21,35,348,383,3,172,11,96,21,80
"backsni78-20122013","Niklas.Backstrom","MIN",42,"20122013",34,"6.000","6.000",90.86,91.51,27.18,2366.4,96.91,90.73,80.63,98,974,1072,15,471,28,274,55,229
"lindban88-20142015","Anders.Lindback","DAL/BUF",26,"20142015",26,"0.925","0.925",90.85,91.39,34.03,1407,96.63,93.19,78.26,73,725,798,12,344,16,219,45,162
"johnsbr77-20082009","Brent.Johnson","WSH",21,"20082009",31,"0.825","0.812",90.85,91.24,30.71,1131.1,95.45,89.6,83.8,53,526,579,12,252,18,155,23,119
"theodjo76-20092010","Jose.Theodore","WSH",46,"20092010",33,"4.500","4.500",90.84,92.26,31.15,2523.2,96.55,92.27,82.98,120,1190,1310,17,476,30,358,73,356
"greisth86-20142015","Thomas.Greiss","PIT",20,"20142015",28,"1.000","1.000",90.84,91.66,28.27,1158.9,96.28,91.16,82.17,50,496,546,9,233,13,134,28,129
"gigueje77-20122013","Jean-Sebastien.Giguere","COL",18,"20122013",35,"1.250","1.250",90.83,91.53,31.03,906.8,96.28,93.55,79.23,43,426,469,8,207,8,116,27,103
"howarji84-20102011","Jimmy.Howard","DET",63,"20102011",26,"0.800","0.717",90.82,91.68,30.38,3614.2,96.81,90.41,81.87,168,1662,1830,26,790,47,443,95,429
"ortiojo91-20142015","Joni.Ortio","CGY",6,"20142015",23,"0.600","0.600",90.79,91.12,27.43,332.5,92.96,91.89,86.36,14,138,152,5,66,3,34,6,38
"leclapa82-20102011","Pascal.Leclaire","OTT",14,"20102011",27,"4.800","3.800",90.79,91.9,30.74,763.1,98.36,89.66,80.17,36,355,391,3,180,9,78,24,97
"karlshe83-20102011","Henrik.Karlsson","CGY",17,"20102011",26,"0.500","0.500",90.79,91.71,28.04,836.7,98.39,91.49,77.48,36,355,391,3,183,8,86,25,86
"hackema90-20132014","Matt.Hackett","BUF",8,"20132014",23,"0.715","0.715",90.79,91.36,33.76,424.8,97.27,88.57,81.36,22,217,239,3,107,8,62,11,48
"wardxca84-20122013","Cam.Ward","CAR",17,"20122013",28,"6.400","6.300",90.78,91.21,30.8,929.1,93.33,94.87,82.96,44,433,477,15,210,6,111,23,112
"elliobr85-20092010","Brian.Elliott","OTT",54,"20092010",24,"0.800","0.850",90.78,91.74,27.99,2975.2,96.51,91.53,81.66,128,1260,1388,21,580,32,346,75,334
"thomati74-20132014","Tim.Thomas","FLA/DAL",48,"20132014",39,"2.500","2.500",90.76,91.61,31.57,2611,97.6,90.44,79.84,127,1247,1374,15,611,35,331,77,305
"brodema72-20112012","Martin.Brodeur","N.J",59,"20112012",39,"5.200","5.200",90.76,91.58,26.04,3391.3,96.75,92.88,79.09,136,1336,1472,22,655,27,352,87,329
"niittan80-20092010","Antero.Niittymaki","T.B",48,"20092010",29,"0.600","0.600",90.75,92.22,31.51,2593.7,97.43,92.01,81.16,126,1236,1362,14,530,31,357,81,349
"gustajo84-20132014","Jonas.Gustavsson","DET",27,"20132014",28,"1.500","1.500",90.75,91.17,28.44,1550.5,97.53,91.11,77.49,68,667,735,9,355,16,164,43,148
"valiqst77-20082009","Stephen.Valiquette","NYR",15,"20082009",31,"0.725","0.725",90.74,92.36,30.72,822.3,96.99,91.59,83.11,39,382,421,5,161,9,98,25,123
"poulike90-20112012","Kevin.Poulin","NYI",6,"20112012",21,"0.613","0.604",90.74,91.99,32.82,296.2,95.89,94.44,81.13,15,147,162,3,70,2,34,10,43
"luongro79-20122013","Roberto.Luongo","VAN",20,"20122013",33,"6.714","5.333",90.74,91.32,27.63,1196.4,95.45,94.51,79.19,51,500,551,10,210,10,172,31,118
"legacma73-20092010","Manny.Legace","CAR",28,"20092010",36,"0.500","0.500",90.74,91.51,30.37,1471.7,96.06,91.67,81.52,69,676,745,13,317,17,187,39,172
"lalimpa74-20092010","Patrick.Lalime","BUF",16,"20092010",35,"1.000","1.000",90.74,91.47,30.4,852.5,95.31,92.11,82.54,40,392,432,9,183,9,105,22,104
"enrotjh88-20102011","Jhonas.Enroth","BUF",14,"20102011",22,"0.685","0.635",90.72,91.4,29.45,768.2,97.71,92.16,77,35,342,377,4,171,8,94,23,77
"reimeja88-20142015","James.Reimer","TOR",35,"20142015",26,"2.600","2.300",90.71,91.68,33.99,1766.8,95.78,92.16,82.35,93,908,1001,18,409,21,247,54,252
"quickjo86-20092010","Jonathan.Quick","L.A",71,"20092010",23,"0.570","0.560",90.71,91.64,27.25,4194.8,96.4,90.1,82.89,177,1728,1905,30,803,50,455,97,470
"gigueje77-20092010","Jean-Sebastien.Giguere","ANA/TOR",35,"20092010",32,"6.000","6.000",90.69,91.67,30.58,2022.9,95.38,91.94,83.38,96,935,1031,20,413,22,251,54,271
"rolosdw69-20092010","Dwayne.Roloson","NYI",50,"20092010",39,"2.000","2.500",90.68,91.95,32.21,2896.5,96.18,92.36,82.42,145,1410,1555,23,579,35,423,87,408
"elliobr85-20122013","Brian.Elliott","STL",24,"20122013",27,"1.700","1.800",90.68,91.14,24.44,1291.2,96.11,89.6,81.94,49,477,526,10,247,13,112,26,118
"ellisda80-20122013","Dan.Ellis","CAR",19,"20122013",32,"0.650","0.650",90.65,91.81,33.44,997.5,96.28,95.14,78.82,52,504,556,9,233,7,137,36,134
"sanfocu79-20082009","Curtis.Sanford","VAN",19,"20082009",28,"0.650","0.650",90.62,92.43,27.66,971.8,98.79,88.96,82.17,42,406,448,2,163,17,137,23,106
"pavelon87-20112012","Ondrej.Pavelec","WPG",68,"20112012",24,"1.300","1.150",90.62,91.8,31.08,3930.1,97.15,90.76,81.27,191,1845,2036,24,819,55,540,112,486
"pavelon87-20092010","Ondrej.Pavelec","ATL",42,"20092010",22,"0.850","0.850",90.61,91.84,35.08,2314.3,96.5,90.96,82.65,127,1226,1353,20,552,31,312,76,362
"ersbeer82-20092010","Erik.Ersberg","L.A",11,"20092010",27,"0.750","0.750",90.6,91.29,25.5,550.6,94.12,91.53,84.93,22,212,234,6,96,5,54,11,62
"kiprumi76-20102011","Miikka.Kiprusoff","CGY",71,"20102011",33,"7.000","5.833",90.59,91.26,27.96,4153,96.15,91.17,80.79,182,1753,1935,34,849,46,475,102,429
"lieuwna91-20132014","Nathan.Lieuwen","BUF",7,"20132014",22,"0.595","0.588",90.58,91.55,31.61,362.5,96.43,89.8,82.76,18,173,191,3,81,5,44,10,48
"johnsbr77-20092010","Brent.Johnson","PIT",23,"20092010",32,"0.525","0.525",90.57,91.92,29.3,1108,95.96,94.67,80.46,51,490,541,8,190,9,160,34,140
"emeryra82-20092010","Ray.Emery","PHI",29,"20092010",26,"3.500","3.167",90.56,91.55,27.95,1683,97.55,91.98,78.17,74,710,784,9,359,15,172,50,179
"priceca87-20082009","Carey.Price","MTL",52,"20082009",21,"0.850","0.850",90.55,91.45,29.93,3033.1,97.17,92.87,77.67,143,1370,1513,19,652,30,391,94,327
"leighmi81-20092010","Michael.Leighton","CAR/PHI",34,"20092010",28,"0.600","0.600",90.55,91.8,30,1798.2,97.45,93.7,77.7,85,814,899,10,382,15,223,60,209
"jonesma90-20142015","Martin.Jones","L.A",15,"20142015",24,"0.550","0.550",90.55,91.54,23.77,774.8,96.83,90.72,80.95,29,278,307,4,122,9,88,16,68
"kuempda90-20142015","Darcy.Kuemper","MIN",31,"20142015",24,"1.000","1.250",90.54,90.9,27.51,1568,95.99,86.49,84.32,68,651,719,14,335,25,160,29,156
"nabokev75-20132014","Evgeni.Nabokov","NYI",40,"20132014",38,"3.250","3.250",90.51,92.19,28.89,2253.3,97.37,91.09,82.09,103,982,1085,11,408,27,276,65,298
"lehnero91-20142015","Robin.Lehner","OTT",25,"20142015",23,"1.500","2.225",90.5,90.85,31.79,1470.1,94.37,91.41,82.69,74,705,779,21,352,17,181,36,172
"bryzgil80-20082009","Ilya.Bryzgalov","PHX",64,"20082009",28,"4.000","4.250",90.5,91.05,31.83,3690.4,96.02,90.67,80.69,186,1772,1958,36,868,50,486,100,418
"pavelon87-20122013","Ondrej.Pavelec","WPG",44,"20122013",25,"3.250","3.900",90.49,91.38,29.42,2550.9,95.93,91.62,81.3,119,1132,1251,21,495,32,350,66,287
"fleurma84-20092010","Marc-Andre.Fleury","PIT",66,"20092010",24,"3.500","5.000",90.48,91.61,28.03,3730.7,96.28,91.12,82.02,166,1577,1743,27,698,43,441,96,438
"priceca87-20122013","Carey.Price","MTL",39,"20122013",25,"5.500","6.500",90.47,91,27.18,2247.3,95.82,90.64,80.95,97,921,1018,20,458,25,242,52,221
"peterju86-20092010","Justin.Peters","CAR",9,"20092010",23,"0.500","0.500",90.46,92.23,29.64,487.9,98.95,85.51,84.42,23,218,241,1,94,10,59,12,65
"hardijo84-20092010","Josh.Harding","MIN",25,"20092010",25,"1.100","1.100",90.46,90.94,31.95,1299.7,94.37,92.12,82.35,66,626,692,17,285,16,187,33,154
"allenja90-20122013","Jake.Allen","STL",15,"20122013",22,"0.787","0.817",90.46,91.46,25.84,803.5,94.52,95.6,80.73,33,313,346,8,138,4,87,21,88
"smithmi82-20142015","Mike.Smith","ARI",62,"20142015",32,"6.000","5.667",90.43,91.51,33.03,3551,96.34,92.32,80.27,187,1768,1955,31,815,40,481,116,472
"bironma77-20112012","Martin.Biron","NYR",21,"20112012",34,"0.800","0.875",90.37,91.09,25.52,1220.3,96.58,89.04,81.29,50,469,519,8,226,16,130,26,113
"enrotjh88-20142015","Jhonas.Enroth","BUF/DAL",50,"20142015",26,"1.250","1.250",90.36,91.22,31.88,2830.3,96.01,91.58,80.5,145,1359,1504,27,649,33,359,85,351
"lehtoka83-20142015","Kari.Lehtonen","DAL",65,"20142015",30,"6.250","5.900",90.35,91.5,30.43,3696.8,96.82,90.82,80.69,181,1694,1875,25,762,49,485,107,447
