"","Name","Team","Gm","season","Age","Salary","AAV","Sv%","AdSv%","SA60","TOI","Sv%L","Sv%M","Sv%H","G","S","Sh","G.L","S.L","G.M","S.M","G.H","S.H"
"lehtoka83-20112012","Kari.Lehtonen","DAL",59,"20112012",27,"3.700","3.550",92.18,92.6,29.87,3492.6,96.46,92.9,83.96,136,1603,1739,28,763,35,458,73,382
"emeryra82-20122013","Ray.Emery","CHI",21,"20122013",29,"1.150","1.150",92.17,92.61,24.74,1115.5,94.44,95.24,86.03,36,424,460,11,187,6,120,19,117
"nabokev75-20092010","Evgeni.Nabokov","S.J",71,"20092010",34,"6.000","5.375",92.16,92.76,31.04,4191,97.2,93.17,82.75,170,1998,2168,28,972,39,532,103,494
"bernijo88-20122013","Jonathan.Bernier","L.A",14,"20122013",24,"1.525","1.250",92.16,92.58,23.92,767.7,95.17,96.05,83.53,24,282,306,7,138,3,73,14,71
"conklty76-20092010","Ty.Conklin","STL",26,"20092010",33,"1.200","1.300",92.15,92.65,31.61,1450.2,95.85,93.02,85.38,60,704,764,14,323,15,200,31,181
"montoal85-20102011","Al.Montoya","NYI",20,"20102011",25,"0.750","0.750",92.14,93.64,30.42,1153.8,97.64,93.64,85,46,539,585,5,207,11,162,30,170
"varlase88-20142015","Semyon.Varlamov","COL",57,"20142015",26,"6.250","5.900",92.13,92.92,32.52,3304.1,97.06,92.62,84.29,141,1650,1791,23,758,36,452,82,440
"fasthvi82-20122013","Viktor.Fasth","ANA",25,"20122013",30,"1.000","1.000",92.13,92.7,27.79,1427.3,96.74,91.62,85.03,52,609,661,10,297,14,153,28,159
"bryzgil80-20102011","Ilya.Bryzgalov","PHX",68,"20102011",30,"4.500","4.250",92.09,92.79,31.43,4056.4,96.82,94.14,82.75,168,1957,2125,30,912,34,546,104,499
"lundqhe82-20092010","Henrik.Lundqvist","NYR",73,"20092010",27,"6.875","6.875",92.08,92.79,30.11,4202.2,96.13,92.79,85.58,167,1942,2109,36,894,39,502,92,546
"lackxed88-20142015","Eddie.Lack","VAN",41,"20142015",26,"1.000","1.150",92.08,93.16,31.01,2322.1,97.7,93.87,82.66,95,1105,1200,12,509,19,291,64,305
"neuvimi88-20132014","Michal.Neuvirth","WSH/BUF",15,"20132014",25,"2.400","2.500",92.07,92.73,35.14,882.7,96.46,90.91,86.49,41,476,517,8,218,13,130,20,128
"reimeja88-20102011","James.Reimer","TOR",37,"20102011",22,"0.555","0.547",92.06,92.61,32.72,2079.5,96.27,91.59,85.71,90,1044,1134,19,491,26,283,45,270
"luongro79-20142015","Roberto.Luongo","FLA",61,"20142015",35,"6.714","5.333",92.06,92.07,29.58,3527.1,96.62,90.95,83.37,138,1601,1739,30,858,40,402,68,341
"kiprumi76-20112012","Miikka.Kiprusoff","CGY",70,"20112012",34,"6.000","5.833",92.06,92.62,29.69,4125.1,97.05,93.31,82.34,162,1879,2041,28,920,36,502,98,457
"halakja85-20132014","Jaroslav.Halak","STL/WSH",52,"20132014",28,"4.500","3.750",92.06,92.46,28.29,2937.3,96.6,91.27,84.72,110,1275,1385,22,625,33,345,55,305
"dubnyde86-20122013","Devan.Dubnyk","EDM",38,"20122013",26,"3.250","3.500",92.06,92.88,32.4,2097.9,95.61,93.59,86.27,90,1043,1133,19,414,22,321,49,308
"schneco86-20132014","Cory.Schneider","N.J",45,"20132014",27,"4.000","4.000",92.05,92.88,24.81,2676.8,97.03,93.99,82.81,88,1019,1107,14,457,19,297,55,265
"howarji84-20112012","Jimmy.Howard","DET",57,"20112012",27,"2.250","2.250",92.05,92.79,26.76,3354.4,96.43,92.7,85.03,119,1377,1496,23,621,30,381,66,375
"thomati74-20112012","Tim.Thomas","BOS",59,"20112012",37,"5.000","5.000",92.04,92.49,29.73,3348.6,96.35,92.81,83.83,132,1527,1659,27,712,35,452,70,363
"lundqhe82-20132014","Henrik.Lundqvist","NYR",63,"20132014",31,"5.125","6.875",92.04,92.69,29.73,3653,97.17,92.17,83.53,144,1666,1810,24,823,35,412,85,431
"luongro79-20082009","Roberto.Luongo","VAN",53,"20082009",29,"7.000","6.750",92.03,92.87,29.03,3139.1,96.27,94.98,83.41,121,1398,1519,24,619,21,397,76,382
"khudoan86-20122013","Anton.Khudobin","BOS",14,"20122013",26,"0.800","0.875",92.03,92.63,29.08,802.6,98.35,91.35,81.55,31,358,389,3,179,9,95,19,84
"fleurma84-20142015","Marc-Andre.Fleury","PIT",64,"20142015",29,"5.750","5.000",92.03,93.04,29.11,3774.2,97.98,92.09,83.3,146,1685,1831,16,777,39,454,91,454
"pavelon87-20142015","Ondrej.Pavelec","WPG",50,"20142015",27,"3.750","3.900",92.02,92.95,28.63,2835.7,97.19,93.47,83.25,108,1245,1353,16,554,25,358,67,333
"greisth86-20132014","Thomas.Greiss","PHX",25,"20132014",27,"0.750","0.750",92.01,92.33,28.63,1311.8,95.04,91.76,87.04,50,576,626,14,268,15,167,21,141
"bishobe86-20122013","Ben.Bishop","OTT/T.B",22,"20122013",25,"0.650","0.650",92.01,92.33,33.38,1260.1,96.86,92.89,81.98,56,645,701,10,308,15,196,31,141
"kiprumi76-20092010","Miikka.Kiprusoff","CGY",72,"20092010",32,"7.000","5.833",92,92.88,28.95,4170.3,97.45,93.01,82.86,161,1851,2012,23,879,36,479,102,493
"montoal85-20132014","Al.Montoya","WPG",28,"20132014",28,"0.601","0.601",91.99,92.7,28.69,1541.2,95.94,92.86,85.52,59,678,737,13,307,14,182,32,189
"holtbbr89-20122013","Braden.Holtby","WSH",36,"20122013",22,"0.600","0.573",91.99,92.15,32.3,2085.8,95.81,92.26,84.12,90,1033,1123,23,526,23,274,44,233
"weekeke75-20082009","Kevin.Weekes","N.J",16,"20082009",33,"0.700","0.688",91.98,92.44,30.14,794.4,95.05,94.17,85.09,32,367,399,9,173,6,97,17,97
