"","Team","Gm","season","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%","HSCF%","HSC+/-","HSCF","HSCA","HSCF60","HSCA60","HSCP60","SCF%","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","CF%","C+/-","CF","CA","CF60","CA60","CP60","FF%","F+/-","FF60","FA60","FF","FA","FP60","MSF","MSA","BSF","BSA","SF%","S+/-","SF60","SA60","SF","SA","GF60","GA60","GF%","OSh%","OFenSh%","OSv%","OCOn%","OFOn%","FO%","FO_W","FO_L","ZSO","ZSN","ZSD","HIT","HIT-","PN","PN-","PenD","TOI"
"13","CGY",81,"20082009",248,242,6,54,109.4,71.5,9.5,89.9,51.4,99.4,54.5,52.4,90,990,900,12.1,11,23.1,54.4,388,2417,2029,29.6,24.8,54.4,54,723,4829,4106,59.1,50.3,109.4,52.3,323,44.7,40.7,3651,3328,85.5,1040,926,1178,778,52.1,209,32,29.4,2611,2402,3,3,50.6,9.5,6.8,89.9,54.1,71.5,51.4,2424,2291,1706,1587,1422,1531,1521,486,493,7,4900.2
"14","WSH",82,"20082009",268,240,28,53.7,115.4,72.2,9.8,90.1,51.7,99.8,52.1,51.8,70,1019,949,12.3,11.4,23.7,53.1,309,2648,2339,31.9,28.1,60,53.7,705,5145,4440,61.9,53.4,115.4,53.3,478,45.8,40.1,3807,3329,85.9,1059,911,1338,1111,53.2,330,33.1,29.1,2748,2418,3.2,2.9,52.8,9.8,7,90.1,53.4,72.2,51.7,2467,2308,1636,1633,1506,1662,1728,457,409,-48,4985.6
"15","DET",82,"20102011",257,237,20,53.5,112,71.2,9.3,90.6,51.9,99.9,51.5,52.3,87,990,903,11.9,10.8,22.7,53.8,359,2519,2160,30.2,25.9,56.1,53.5,658,5002,4344,60,52.1,112,53,445,46.4,41.1,3872,3427,87.5,1115,913,1130,917,52.3,243,33.1,30.1,2757,2514,3.1,2.8,52,9.3,6.6,90.6,55.1,71.2,51.9,2540,2350,1703,1583,1604,1794,1963,335,345,10,5004.6
"16","CHI",82,"20082009",260,209,51,53.8,101.2,75.7,9.7,91.1,48.1,100.8,54.3,50.7,24,901,877,10.8,10.5,21.4,52.4,198,2131,1933,25.6,23.2,48.8,53.8,640,4535,3895,54.5,46.8,101.2,53.8,497,42.6,36.6,3546,3049,79.2,863,705,989,846,53.4,339,32.2,28.2,2683,2344,3.1,2.5,55.4,9.7,7.3,91.1,59.2,75.7,48.1,2195,2369,1610,1597,1357,1520,1652,436,469,33,4995.6
"17","BOS",82,"20112012",260,199,61,53.4,111.8,72.4,9.8,91.8,54.5,101.6,51.3,53.6,130,972,842,11.7,10.1,21.8,53.4,318,2464,2146,29.6,25.8,55.4,53.4,630,4965,4335,59.7,52.1,111.8,52.8,382,44.1,39.5,3663,3281,83.5,1010,840,1302,1054,52.1,212,31.9,29.4,2653,2441,3.1,2.4,56.6,9.8,7.1,91.8,53.4,72.4,54.5,2633,2196,1629,1656,1544,1778,1935,382,366,-16,4988.9
"18","L.A",81,"20112012",187,169,18,53.4,109.1,69.2,7.6,92.4,51.5,100,50.1,52.9,98,905,807,11,9.8,20.7,52.8,234,2241,2007,27.1,24.3,51.5,53.4,611,4808,4197,58.2,50.8,109.1,52.5,340,43.3,39.2,3573,3233,82.4,1101,1009,1235,964,52.6,248,29.9,26.9,2472,2224,2.3,2,52.5,7.6,5.2,92.4,51.4,69.2,51.5,2366,2225,1558,1479,1554,2246,2101,370,365,-5,4953.4
"19","NYI",82,"20142015",245,224,21,53,115.9,72.6,8.8,90.3,49.2,99.2,53.4,55.8,249,1199,950,14.4,11.4,25.8,53.7,380,2727,2347,32.7,28.1,60.8,53,582,5126,4544,61.4,54.4,115.9,54.2,592,45.7,38.6,3813,3221,84.3,1043,900,1313,1323,54.4,449,33.2,27.8,2770,2321,2.9,2.7,52.2,8.8,6.4,90.3,54,72.6,49.2,2402,2478,1762,1580,1538,2685,2173,286,332,46,5007.2
"20","S.J",82,"20112012",219,205,14,52.9,116.6,72,7.9,91.3,53.3,99.1,52.6,55.5,208,1049,841,12.5,10.1,22.6,54.5,402,2433,2031,29.1,24.3,53.4,52.9,574,5162,4588,61.7,54.9,116.6,54.2,593,46.1,39,3854,3261,85.1,1081,918,1308,1327,54.2,430,33.2,28,2773,2343,2.6,2.5,51.7,7.9,5.7,91.3,53.7,72,53.3,2590,2267,1729,1568,1560,1565,1969,306,349,43,5017.9
"21","L.A",48,"20122013",131,114,17,55.6,103.4,68.6,9.2,90.5,52,99.6,54.7,53.2,64,525,461,10.8,9.5,20.3,54.4,219,1349,1130,27.7,23.2,51,55.6,567,2797,2230,57.5,45.9,103.4,54.8,368,42.9,35.4,2087,1719,78.3,656,521,710,511,54.4,233,29.4,24.6,1431,1198,2.7,2.3,53.5,9.2,6.3,90.5,51.2,68.6,52,1470,1356,1057,892,877,1446,1445,201,208,7,2917.2
"22","N.J",48,"20122013",110,122,-12,56.2,93.3,71,8.1,89,48.2,97.1,52.6,56.7,126,536,410,10.9,8.4,19.3,54.7,217,1262,1045,25.8,21.3,47.1,56.2,563,2566,2003,52.4,40.9,93.3,56.4,433,39.2,30.4,1921,1488,69.6,558,378,645,515,55.1,253,27.8,22.7,1363,1110,2.2,2.5,47.4,8.1,5.7,89,53.1,71,48.2,1339,1440,936,998,845,892,1143,218,233,15,2937.8
