"","Team","Gm","season","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%","HSCF%","HSC+/-","HSCF","HSCA","HSCF60","HSCA60","HSCP60","SCF%","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","CF%","C+/-","CF","CA","CF60","CA60","CP60","FF%","F+/-","FF60","FA60","FF","FA","FP60","MSF","MSA","BSF","BSA","SF%","S+/-","SF60","SA60","SF","SA","GF60","GA60","GF%","OSh%","OFenSh%","OSv%","OCOn%","OFOn%","FO%","FO_W","FO_L","ZSO","ZSN","ZSD","HIT","HIT-","PN","PN-","PenD","TOI"
"50","PHI",82,"20112012",260,225,35,52,112.7,72.5,9.8,90.3,48.3,100.2,52,55.2,216,1138,922,13.7,11.1,24.7,53.5,334,2529,2195,30.3,26.3,56.7,52,373,4884,4511,58.6,54.1,112.7,52.4,340,43.7,39.6,3643,3303,83.3,1002,974,1241,1208,53.1,312,31.7,27.9,2641,2329,3.1,2.7,53.6,9.8,7.1,90.3,54.1,72.5,48.3,2331,2494,1655,1640,1530,2058,2159,475,493,18,5002
"51","L.A",82,"20102011",209,196,13,52.1,107.4,68.6,8.8,91.4,51.1,100.3,50.7,51.5,51,871,820,10.5,9.9,20.3,50,4,2098,2094,25.2,25.2,50.4,52.1,367,4653,4286,55.9,51.5,107.4,51.4,190,41.4,39.1,3444,3254,80.5,1081,966,1209,1032,50.8,75,28.4,27.5,2363,2288,2.5,2.4,51.6,8.8,6.1,91.4,50.8,68.6,51.1,2407,2301,1613,1527,1568,2127,2345,361,375,14,4993.8
"52","OTT",48,"20122013",112,100,12,53.2,115.7,72.7,7,93.3,49.2,100.4,52.2,51.9,41,548,507,11.2,10.4,21.6,52.2,117,1381,1264,28.3,25.9,54.2,53.2,366,3008,2642,61.6,54.1,115.7,51.9,163,44.8,41.5,2189,2026,86.3,598,524,819,616,51.4,89,32.6,30.8,1591,1502,2.3,2,52.8,7,5.1,93.3,52.9,72.7,49.2,1420,1469,1023,930,936,1307,1330,239,229,-10,2930.6
"53","VAN",82,"20092010",268,218,50,52,108.5,71.1,10.6,91,51.4,101.6,50.1,50.8,30,982,952,11.8,11.5,23.3,50.7,66,2269,2203,27.4,26.6,54,52,352,4672,4320,56.4,52.1,108.5,51.7,236,43,40.2,3565,3329,83.2,1031,910,1107,991,51.2,115,30.6,29.2,2534,2419,3.2,2.6,55.1,10.6,7.5,91,54.2,71.1,51.4,2434,2304,1605,1534,1599,1499,1715,465,468,3,4972.8
"54","NSH",82,"20092010",217,221,-4,52,106.8,71.2,8.7,90.8,49.2,99.4,47.9,47.9,-73,847,920,10.2,11.1,21.2,50.8,68,2130,2062,25.6,24.8,50.4,52,350,4615,4265,55.5,51.3,106.8,51.9,263,42.3,39.2,3522,3259,81.5,1014,863,1093,1006,51.1,112,30.2,28.8,2508,2396,2.6,2.7,49.5,8.7,6.2,90.8,54.3,71.2,49.2,2306,2382,1499,1559,1630,1419,1419,308,347,39,4990.8
"55","PIT",82,"20142015",217,204,13,51.9,108.1,73.9,8.4,91.5,49.1,99.9,52.7,50.8,31,940,909,11.3,10.9,22.2,51.5,137,2289,2152,27.5,25.8,53.3,51.9,341,4675,4334,56.1,52,108.1,52,270,42.1,38.9,3510,3240,81,917,839,1165,1094,51.9,192,31.1,28.8,2593,2401,2.6,2.4,51.5,8.4,6.2,91.5,55.5,73.9,49.1,2396,2487,1718,1623,1542,2495,2354,421,387,-34,5001.6
"56","CHI",48,"20122013",149,97,52,53.4,102.5,74.9,10,92.3,50.8,102.3,53.7,51.2,23,485,462,9.9,9.4,19.3,53.5,168,1276,1108,26,22.6,48.6,53.4,341,2686,2345,54.7,47.8,102.5,54.1,301,40.6,34.5,1994,1693,75.1,500,435,692,652,54.3,236,30.4,25.6,1494,1258,3,2,60.6,10,7.5,92.3,55.6,74.9,50.8,1436,1392,1020,928,880,840,1365,185,192,7,2945.4
"57","WPG",82,"20142015",223,204,19,51.8,108.4,71.7,9.1,91.3,48.9,100.5,50,51.2,45,953,908,11.4,10.9,22.3,51.5,136,2345,2209,28.1,26.5,54.5,51.8,328,4688,4360,56.1,52.2,108.4,51.2,161,40.7,38.8,3401,3240,79.5,962,890,1287,1120,50.9,89,29.2,28.1,2439,2350,2.7,2.4,52.2,9.1,6.6,91.3,52,71.7,48.9,2476,2588,1720,1622,1722,2409,1931,428,381,-47,5009.7
"58","STL",82,"20142015",239,197,42,51.8,106.9,71.9,9.4,91.2,53.4,100.6,49.5,53.3,110,890,780,10.7,9.4,20,52.5,221,2292,2071,27.5,24.8,52.3,51.8,326,4621,4295,55.4,51.5,106.9,53.1,407,42.3,37.4,3529,3122,79.8,993,889,1092,1173,53.2,303,30.4,26.8,2536,2233,2.9,2.4,54.8,9.4,6.8,91.2,54.9,71.9,53.4,2736,2387,1753,1584,1785,1845,2035,368,353,-15,5002.3
"59","MTL",48,"20122013",146,124,22,53,108.9,71.7,9.9,90.4,49.8,100.4,52.4,56.1,130,602,472,12.4,9.7,22.1,52.5,125,1322,1197,27.2,24.6,51.8,53,321,2809,2488,57.8,51.2,108.9,53.4,262,42.1,36.7,2048,1786,78.8,580,492,761,702,53.1,174,30.2,26.6,1468,1294,3,2.5,54.1,9.9,7.1,90.4,52.3,71.7,49.8,1499,1514,1037,1035,941,1067,1310,243,277,34,2917.9
"60","VAN",82,"20132014",191,216,-25,51.7,111.4,71,7.6,90.7,51.4,98.3,48.9,50.6,22,918,896,11,10.7,21.7,50.5,46,2223,2177,26.6,26.1,52.7,51.7,316,4807,4491,57.6,53.8,111.4,52.1,284,42.6,39.2,3558,3274,81.9,1031,946,1249,1217,52,199,30.3,27.9,2527,2328,2.3,2.6,46.9,7.6,5.4,90.7,52.6,71,51.4,2534,2399,1645,1567,1721,1710,1925,394,361,-33,5007.9
"61","OTT",82,"20112012",243,236,7,51.6,115.2,71.4,9.4,91,50.1,100.5,52.2,47.5,-96,911,1007,10.9,12.1,23,49.4,-58,2300,2358,27.6,28.3,55.9,51.6,311,4951,4640,59.5,55.7,115.2,50.3,45,43.3,42.8,3607,3562,86.1,1033,935,1344,1078,49.5,-53,30.9,31.6,2574,2627,2.9,2.8,50.7,9.4,6.7,91,52,71.4,50.1,2453,2440,1669,1697,1527,1975,1828,425,374,-51,4995.3
"62","N.J",82,"20092010",216,186,30,51.8,97.9,75.1,8.8,91.6,49.4,100.4,54.8,52.4,80,866,786,10.4,9.5,19.9,51.9,150,2074,1924,24.9,23.1,48.1,51.8,293,4217,3924,50.7,47.2,97.9,52.5,313,39.4,35.6,3274,2961,75,815,748,943,963,52.6,246,29.6,26.6,2459,2213,2.6,2.2,53.7,8.8,6.6,91.6,58.3,75.1,49.4,2098,2146,1493,1518,1233,1600,1860,327,362,35,4990
"63","WSH",81,"20102011",216,191,25,51.5,112.9,72.3,8.5,91.9,51.6,100.4,50.2,50.4,17,980,963,11.9,11.7,23.5,51,96,2400,2304,29.1,27.9,57,51.5,283,4798,4515,58.2,54.7,112.9,51.7,231,42.5,39.7,3505,3274,82.2,972,928,1293,1241,51.9,187,30.7,28.4,2533,2346,2.6,2.3,53.1,8.5,6.2,91.9,52.8,72.3,51.6,2493,2343,1605,1640,1591,1865,1870,371,340,-31,4950.6
"64","CGY",82,"20102011",241,230,11,51.5,110.1,70.5,9.6,90.2,48.1,99.8,53.1,52.2,79,928,849,11.1,10.2,21.2,52.2,196,2292,2096,27.4,25.1,52.5,51.5,276,4742,4466,56.7,53.4,110.1,52.1,292,42.4,38.9,3549,3257,81.4,1047,919,1193,1209,51.7,164,29.9,28,2502,2338,2.9,2.7,51.2,9.6,6.8,90.2,52.8,70.5,48.1,2350,2531,1696,1689,1496,1664,1599,354,389,35,5018.7
"65","PHI",82,"20092010",232,222,10,51.4,112.5,72.1,9,90.5,50.1,99.5,50.1,55.7,220,1076,856,13,10.3,23.3,53.7,334,2428,2094,29.3,25.3,54.6,51.4,264,4789,4525,57.8,54.6,112.5,52.3,319,43.3,39.5,3590,3271,82.8,1001,923,1199,1254,52.4,241,31.3,28.3,2589,2348,2.8,2.7,51.1,9,6.5,90.5,54.1,72.1,50.1,2415,2408,1581,1669,1573,1807,1686,502,482,-20,4969.3
"66","OTT",82,"20132014",229,258,-29,51.2,117.6,71.1,8.5,90.9,51.2,99.5,50,46.1,-143,844,987,10.1,11.8,21.9,49.3,-61,2256,2317,27,27.8,54.8,51.2,245,5032,4787,60.3,57.3,117.6,49.7,-48,45.3,45.9,3784,3832,91.2,1092,982,1248,955,48.6,-158,32.2,34.1,2692,2850,2.7,3.1,47,8.5,6.1,90.9,53.5,71.1,51.2,2659,2530,1734,1718,1737,2351,2056,435,390,-45,5008.7
"67","CAR",82,"20132014",205,226,-21,51.2,116,70.8,8,91.1,52.6,99.1,52.9,49,-37,949,986,11.4,11.9,23.3,50.3,28,2371,2343,28.6,28.2,56.8,51.2,235,4929,4694,59.4,56.6,116,50.1,21,43.6,43.4,3619,3598,87,1058,1061,1310,1096,50.2,24,30.9,30.6,2561,2537,2.5,2.7,47.6,8,5.7,91.1,52,70.8,52.6,2652,2390,1820,1601,1621,1807,1965,296,335,39,4979.1
"68","T.B",82,"20142015",259,206,53,51.3,106,72.3,10.7,91,49.7,101.7,52.4,52.9,113,1033,920,12.5,11.1,23.5,52.3,207,2397,2190,28.9,26.4,55.3,51.3,224,4507,4283,54.3,51.6,106,51.3,171,40.5,38.4,3356,3185,78.9,928,898,1151,1098,51.5,141,29.3,27.6,2428,2287,3.1,2.5,55.7,10.7,7.7,91,53.9,72.3,49.7,2372,2400,1663,1599,1510,1759,1834,346,370,24,4977
"69","L.A",82,"20082009",202,226,-24,51.2,107.6,68.1,8.5,90.2,52,98.7,51.3,52.7,98,957,859,11.5,10.3,21.8,50.8,68,2274,2206,27.3,26.5,53.7,51.2,213,4590,4377,55.1,52.5,107.6,51.2,160,41.9,40,3497,3337,82,1114,1035,1093,1040,50.9,81,28.6,27.6,2383,2302,2.4,2.7,47.2,8.5,5.8,90.2,51.9,68.1,52,2370,2189,1585,1467,1507,2128,2009,478,471,-7,5002.3
"70","S.J",48,"20122013",116,112,4,51.8,116.4,70.7,7.6,91.9,53.4,99.5,50.3,55.7,122,600,478,12.2,9.7,21.9,53.7,191,1396,1205,28.4,24.5,52.9,51.8,202,2962,2760,60.3,56.2,116.4,52.4,199,43.9,39.9,2159,1960,83.8,633,570,803,800,52.3,136,31.1,28.3,1526,1390,2.4,2.3,50.9,7.6,5.4,91.9,51.5,70.7,53.4,1607,1403,1044,935,1031,1031,1185,194,216,22,2948.3
"71","S.J",81,"20092010",257,206,51,51.1,114.1,71.1,10,91.9,55.7,101.9,48.8,51.8,72,1042,970,12.7,11.8,24.4,52.3,218,2437,2219,29.6,27,56.6,51.1,202,4798,4596,58.3,55.8,114.1,50.4,63,43.8,43,3604,3541,86.8,1040,991,1194,1055,50.1,14,31.2,31,2564,2550,3.1,2.5,55.5,10,7.1,91.9,53.4,71.1,55.7,2607,2075,1526,1556,1600,1912,1961,446,422,-24,4938.4
"72","STL",48,"20122013",124,114,10,52,99.7,71.3,9.3,90.2,50.7,99.5,51.7,49.8,-4,455,459,9.3,9.4,18.8,50.8,35,1151,1116,23.7,22.9,46.6,52,198,2526,2328,51.9,47.8,99.7,53.2,224,38.5,33.9,1875,1651,72.5,539,490,651,677,53.5,175,27.5,23.9,1336,1161,2.5,2.3,52.1,9.3,6.6,90.2,52.9,71.3,50.7,1438,1397,995,909,931,1120,970,215,214,-1,2919.8
"73","OTT",82,"20142015",232,208,24,51.1,112.6,72.3,9.1,92.1,48.2,101.2,50.3,51,38,931,893,11.1,10.7,21.8,51.7,150,2298,2148,27.4,25.6,53.1,51.1,198,4813,4615,57.5,55.1,112.6,49.6,-57,41.9,42.6,3513,3570,84.6,973,935,1300,1045,49.1,-95,30.3,31.5,2540,2635,2.8,2.5,52.7,9.1,6.6,92.1,52.8,72.3,48.2,2421,2599,1716,1608,1696,2279,2121,341,366,25,5025.7
"74","ANA",82,"20142015",228,221,7,51.1,110.8,68.7,9.3,90.7,51.6,99.9,50,51.6,57,906,849,10.9,10.2,21.1,52.2,183,2207,2024,26.5,24.3,50.8,51.1,198,4719,4521,56.6,54.2,110.8,51.6,218,42.9,40.3,3578,3360,83.2,1120,993,1141,1161,50.9,91,29.5,28.4,2458,2367,2.7,2.7,50.8,9.3,6.4,90.7,52.1,68.7,51.6,2652,2483,1736,1664,1735,2301,2187,356,320,-36,5001.9
"75","T.B",82,"20102011",241,234,7,51.1,111.1,72.5,9.2,90.1,50.4,99.3,47.2,58.9,375,1241,866,14.9,10.4,25.2,54.5,438,2636,2198,31.5,26.3,57.9,51.1,197,4738,4541,56.7,54.3,111.1,52.2,303,43,39.4,3595,3292,82.4,989,938,1143,1249,52.5,252,31.2,28.2,2606,2354,2.9,2.8,50.7,9.2,6.7,90.1,55,72.5,50.4,2486,2448,1487,1785,1662,1647,1852,381,409,28,5013.2
"76","VAN",48,"20122013",122,115,7,51.9,103.1,70.6,9,91.7,47.6,100.8,50.5,49.1,-19,514,533,10.5,10.9,21.3,48.4,-83,1217,1300,24.8,26.5,51.3,51.9,191,2624,2433,53.5,49.6,103.1,50.6,48,39,38,1914,1866,77,563,477,710,567,49.3,-38,27.5,28.3,1351,1389,2.5,2.3,51.5,9,6.4,91.7,51.5,70.6,47.6,1365,1503,998,893,977,1020,1056,234,234,0,2943.7
"77","CBJ",82,"20102011",210,250,-40,51,108.2,72.4,8.4,89.8,51.2,98.2,51.6,51.3,47,921,874,11,10.5,21.5,50.9,78,2245,2167,26.9,25.9,52.8,51,189,4613,4424,55.2,53,108.2,51.1,150,41.4,39.6,3460,3310,81.1,954,863,1153,1114,50.6,59,30,29.3,2506,2447,2.5,3,45.7,8.4,6.1,89.8,54.3,72.4,51.2,2459,2345,1640,1624,1540,2316,1699,429,433,4,5011.6
"78","MIN",82,"20142015",227,198,29,51,108.6,72.5,9,91.3,49.9,100.3,51.2,55.5,194,980,786,11.8,9.5,21.3,52.2,188,2240,2052,27,24.8,51.8,51,184,4593,4409,55.4,53.2,108.6,52.3,300,41.9,38.3,3477,3177,80.3,955,911,1116,1232,52.7,256,30.4,27.3,2522,2266,2.7,2.4,53.4,9,6.5,91.3,54.9,72.5,49.9,2491,2504,1743,1592,1660,1323,1642,301,321,20,4973.4
"79","PHX",81,"20092010",205,195,10,51,107.1,71.5,8.3,91.9,50,100.1,51,52.2,81,957,876,11.5,10.6,22.1,50.9,78,2248,2170,27.1,26.2,53.3,51,175,4527,4352,54.6,52.5,107.1,50.5,63,41.7,40.9,3456,3393,82.6,985,1000,1071,959,50.8,78,29.8,28.9,2471,2393,2.5,2.4,51.2,8.3,5.9,91.9,54.6,71.5,50,2249,2249,1534,1489,1475,1784,1891,375,365,-10,4972.6
"80","DAL",82,"20132014",230,221,9,50.9,116.3,70.2,9,91.1,50.1,100,51.7,50.5,19,1032,1013,12.5,12.3,24.8,51.3,130,2522,2392,30.6,29,59.5,50.9,171,4884,4713,59.2,57.1,116.3,51,144,44.3,42.6,3658,3514,86.9,1089,1038,1226,1199,50.9,93,31.1,30,2569,2476,2.8,2.7,51,9,6.3,91.1,52.6,70.2,50.1,2544,2538,1767,1663,1652,1629,1968,357,376,19,4951.3
"81","CGY",81,"20092010",200,201,-1,50.9,108.3,70,8.6,91.4,48,100,51.1,48.4,-54,841,895,10.3,10.9,21.2,51,85,2113,2028,25.8,24.7,50.5,50.9,166,4520,4354,55.1,53.1,108.3,50.1,18,40.5,40.3,3320,3302,80.8,995,953,1200,1052,49.7,-24,28.4,28.7,2325,2349,2.4,2.5,49.9,8.6,6,91.4,51.4,70,48,2215,2398,1559,1561,1493,1692,1579,421,385,-36,4917.9
"82","COL",82,"20112012",199,218,-19,50.9,110.3,74.7,7.7,91,51.6,98.7,49.8,50,1,958,957,11.5,11.5,23,51,86,2282,2196,27.3,26.3,53.7,50.9,165,4683,4518,56.1,54.1,110.3,50.4,50,41.4,40.8,3457,3407,82.3,873,980,1226,1111,51.6,157,31,29.1,2584,2427,2.4,2.6,47.7,7.7,5.8,91,55.2,74.7,51.6,2409,2257,1539,1577,1550,1889,1631,352,298,-54,5006.5
"83","PHI",82,"20132014",233,227,6,50.8,113,71.2,9.4,90.9,50,100.3,50.8,49.6,-14,889,903,10.7,10.9,21.5,50,-4,2271,2275,27.3,27.3,54.6,50.8,154,4776,4622,57.4,55.6,113,50.5,73,42,41.1,3495,3422,83.1,1005,914,1281,1200,49.8,-18,29.9,30.1,2490,2508,2.8,2.7,50.7,9.4,6.7,90.9,52.1,71.2,50,2504,2507,1704,1658,1649,2174,2092,431,402,-29,4991.7
"84","CAR",48,"20122013",127,159,-32,51.3,120.2,70.6,8.2,89.7,50.2,97.9,52.5,48.2,-43,592,635,12.3,13.1,25.4,50.1,3,1447,1444,30,29.9,59.8,51.3,149,2977,2828,61.6,58.5,120.2,50.3,26,45.3,44.7,2187,2161,90,642,613,790,667,50,-3,32,32,1545,1548,2.6,3.3,44.4,8.2,5.8,89.7,51.9,70.6,50.2,1503,1491,1072,954,968,1100,1148,212,213,1,2898.4
"85","DET",82,"20132014",217,221,-4,50.9,102.3,72.7,8.8,90.8,50.8,99.6,52.2,49,-32,825,857,9.8,10.2,20.1,50.4,35,2075,2040,24.8,24.4,49.1,50.9,147,4360,4213,52,50.3,102.3,51.4,179,40.3,38.2,3378,3199,78.5,922,797,982,1014,50.6,54,29.3,28.7,2456,2402,2.6,2.6,49.5,8.8,6.4,90.8,56.3,72.7,50.8,2487,2413,1731,1581,1588,1621,1905,335,324,-11,5026.4
"86","WSH",82,"20142015",237,199,38,50.7,112,69.5,9.8,91.6,51.2,101.4,51.8,49.2,-28,855,883,10.3,10.6,20.8,51.2,109,2273,2164,27.3,26,53.2,50.7,135,4736,4601,56.8,55.2,112,51.1,150,41.7,39.9,3480,3330,81.7,1060,962,1256,1271,50.5,52,29,28.4,2420,2368,2.8,2.4,54.4,9.8,6.8,91.6,51.1,69.5,51.2,2522,2399,1713,1611,1597,2335,2195,361,341,-20,5001.9
"87","BOS",82,"20102011",244,189,55,50.7,117,74,9.1,93,51.9,102,48.4,49.2,-30,981,1011,11.8,12.2,24,49.6,-43,2506,2549,30.2,30.7,60.9,50.7,132,4923,4791,59.3,57.7,117,50.2,25,43.9,43.6,3644,3619,87.5,948,936,1279,1172,50.1,13,32.5,32.3,2696,2683,2.9,2.3,56.4,9.1,6.7,93,54.8,74,51.9,2485,2306,1519,1654,1618,1736,1956,388,386,-2,4980.1
"88","L.A",81,"20092010",227,208,19,50.7,103.6,70.1,9.6,90.7,50.6,100.3,51.4,51.2,43,946,903,11.4,10.9,22.4,49.9,-8,2122,2130,25.7,25.8,51.4,50.7,128,4347,4219,52.6,51,103.6,51,129,40.7,39.2,3368,3239,79.9,1006,1001,979,980,51.3,124,28.6,27.1,2362,2238,2.7,2.5,52.2,9.6,6.7,90.7,54.3,70.1,50.6,2255,2200,1522,1493,1440,2092,2079,395,407,12,4959.5
"89","FLA",82,"20142015",198,213,-15,50.7,104.9,74.1,7.9,91.2,48.6,99.1,50.2,49.7,-10,776,786,9.3,9.4,18.7,50.7,55,1941,1886,23.2,22.5,45.7,50.7,126,4455,4329,53.2,51.7,104.9,50.5,69,40.6,39.8,3397,3328,80.3,880,908,1058,1001,51,97,30.1,28.9,2517,2420,2.4,2.5,48.2,7.9,5.8,91.2,56.5,74.1,48.6,2505,2650,1757,1655,1743,2268,2268,328,323,-5,5022.8
"90","MTL",82,"20102011",213,206,7,50.6,115.6,72,8.2,91.9,49,100.1,49.8,48.3,-66,960,1026,11.6,12.4,24,49.5,-44,2375,2419,28.6,29.2,57.8,50.6,113,4849,4736,58.5,57.1,115.6,51.1,150,43.6,41.8,3614,3464,85.4,1012,926,1235,1272,50.6,64,31.4,30.6,2602,2538,2.6,2.5,50.8,8.2,5.9,91.9,53.7,72,49,2309,2403,1550,1599,1563,1658,1859,432,397,-35,4974
"91","N.J",82,"20112012",216,205,11,50.7,93.2,74.7,9.6,90.7,47.1,100.3,50.7,51.3,42,837,795,10,9.5,19.5,52.2,178,2075,1897,24.8,22.7,47.5,50.7,106,3946,3840,47.2,46,93.2,50.9,103,36.1,34.8,3015,2912,70.9,762,712,931,928,50.6,53,27,26.3,2253,2200,2.6,2.5,51.3,9.6,7.2,90.7,57.1,74.7,47.1,2095,2356,1454,1585,1412,1677,1828,341,345,4,5013.5
"92","NYR",48,"20122013",126,108,18,50.9,111.8,72.4,8.5,92,50,100.5,53.2,51.8,36,525,489,10.8,10,20.8,51.5,73,1235,1162,25.3,23.8,49.1,50.9,102,2778,2676,56.9,54.9,111.8,51.8,146,42,39,2049,1903,81,566,550,729,773,52.3,130,30.4,27.7,1483,1353,2.6,2.2,53.8,8.5,6.1,92,53.4,72.4,50,1410,1410,1027,891,902,1413,1228,183,191,8,2927.2
"93","CBJ",82,"20082009",220,223,-3,50.6,100.1,73.4,9.3,90.2,51.2,99.5,50.3,52,67,863,796,10.3,9.5,19.9,50.3,25,2002,1977,24,23.7,47.7,50.6,101,4231,4130,50.7,49.5,100.1,51,121,38.7,37.2,3229,3108,75.9,858,827,1002,1022,51,90,28.4,27.3,2371,2281,2.6,2.7,49.7,9.3,6.8,90.2,56,73.4,51.2,2397,2284,1516,1666,1499,1919,2071,468,446,-22,5009.6
"94","DAL",82,"20082009",224,251,-27,50.5,102.8,70.1,9.5,89.1,47.8,98.6,51.4,48.7,-49,883,932,10.6,11.2,21.8,48.3,-147,2081,2228,24.9,26.7,51.7,50.5,89,4332,4243,51.9,50.9,102.8,50.9,121,40.5,39.1,3382,3261,79.6,1012,957,950,982,50.7,66,28.4,27.6,2370,2304,2.7,3,47.2,9.5,6.6,89.1,54.7,70.1,47.8,2120,2313,1487,1539,1407,2076,2187,450,472,22,5004.6
"95","MIN",48,"20122013",118,125,-7,50.9,101.4,73.7,8.5,90.4,52.5,98.9,50.2,56.5,136,593,457,12.2,9.4,21.6,54.1,205,1355,1150,27.8,23.6,51.5,50.9,87,2511,2424,51.6,49.8,101.4,50.9,66,38.6,37.2,1876,1810,75.7,494,511,635,614,51.5,83,28.4,26.7,1382,1299,2.4,2.6,48.6,8.5,6.3,90.4,55,73.7,52.5,1487,1348,961,920,954,956,993,192,208,16,2919.8
"96","NYI",48,"20122013",135,136,-1,50.7,111.8,73.8,9.1,89.9,49.7,99,51.3,53.8,87,620,533,12.7,10.9,23.6,51.8,98,1446,1348,29.6,27.6,57.3,50.7,72,2763,2691,56.6,55.2,111.8,51.1,86,41.2,39.5,2011,1925,80.7,526,573,752,766,52.3,133,30.4,27.7,1485,1352,2.8,2.8,49.8,9.1,6.7,89.9,53.7,73.8,49.7,1369,1385,932,937,885,1018,1098,191,199,8,2927.3
"97","OTT",81,"20092010",216,231,-15,50.4,107,72.7,9,90,49.4,99,52.4,51.3,47,912,865,11.1,10.5,21.6,50.8,72,2224,2152,27.1,26.2,53.3,50.4,71,4430,4359,54,53.1,107,51,130,40.2,38.6,3303,3173,78.9,903,869,1127,1186,51,96,29.2,28.1,2400,2304,2.6,2.8,48.3,9,6.5,90,54.2,72.7,49.4,2266,2318,1589,1551,1444,1922,1942,435,405,-30,4926.5
"98","PHX",82,"20132014",210,224,-14,50.4,111.7,71.5,8.4,91.2,52,99.6,51.2,47.5,-94,903,997,10.8,11.9,22.7,48.4,-146,2150,2296,25.7,27.5,53.2,50.4,69,4705,4636,56.3,55.5,111.7,49.9,-9,41.8,41.9,3497,3506,83.8,998,965,1208,1130,49.6,-42,29.9,30.4,2499,2541,2.5,2.7,48.4,8.4,6,91.2,53.1,71.5,52,2563,2369,1687,1636,1609,2173,1966,344,352,8,5016.4
"99","FLA",82,"20132014",188,262,-74,50.4,106.5,72,7.7,89.7,48.3,97.4,49.5,47.4,-92,827,919,9.9,11,21,49.6,-35,2079,2114,25,25.4,50.3,50.4,65,4467,4402,53.6,52.9,106.5,49.9,-16,40.9,41.1,3404,3420,81.9,953,869,1063,982,49,-100,29.4,30.6,2451,2551,2.3,3.1,41.8,7.7,5.5,89.7,54.9,72,48.3,2380,2551,1640,1615,1676,1860,2067,331,345,14,4996.9
"100","TOR",81,"20082009",242,283,-41,50.3,117,70.7,9.4,88.5,50.1,97.9,53.2,48.6,-57,981,1038,11.9,12.6,24.5,49.8,-15,2436,2451,29.6,29.7,59.3,50.3,58,4850,4792,58.8,58.1,117,50.6,86,44.1,43.1,3639,3553,87.2,1066,1094,1211,1239,51.1,114,31.2,29.8,2573,2459,2.9,3.4,46.1,9.4,6.7,88.5,53.1,70.7,50.1,2358,2347,1591,1715,1399,1736,1923,424,445,21,4945.9
"101","CBJ",82,"20132014",224,213,11,50.3,106.5,72.9,9.3,91.5,51.6,100.7,48.5,51.8,59,866,807,10.5,9.8,20.3,51.1,87,2092,2005,25.4,24.4,49.8,50.3,58,4412,4354,53.6,52.9,106.5,50.1,19,40.3,40,3314,3295,80.3,899,801,1098,1059,49.2,-79,29.4,30.3,2415,2494,2.7,2.6,51.3,9.3,6.8,91.5,54.7,72.9,51.6,2466,2313,1571,1540,1668,2595,1929,363,361,-2,4936.8
"102","ANA",82,"20082009",238,235,3,50.3,103.6,71.6,9.6,90.6,49.8,100.2,50.6,51.2,43,956,913,11.5,11,22.5,51.3,115,2191,2076,26.4,25,51.3,50.3,57,4336,4279,52.2,51.5,103.6,49.9,-13,41.7,41.8,3465,3478,83.5,984,978,871,801,49.8,-19,29.8,30.1,2481,2500,2.9,2.8,50.3,9.6,6.9,90.6,57.2,71.6,49.8,2299,2317,1501,1650,1465,1758,1678,539,464,-75,4987.6
"103","NYR",82,"20142015",248,187,61,50.3,110.6,74.2,9.6,92.3,46.7,101.9,50,51.1,38,918,880,11.1,10.6,21.6,50.8,66,2092,2026,25.2,24.4,49.6,50.3,52,4620,4568,55.6,55,110.6,50.5,69,41.9,41,3478,3409,82.9,896,992,1142,1159,51.7,165,31.1,29.1,2582,2417,3,2.3,57,9.6,7.1,92.3,55.9,74.2,46.7,2298,2619,1652,1615,1650,1914,1961,296,288,-8,4983.1
"104","WPG",82,"20132014",219,231,-12,50.3,113.4,71,8.7,90.7,46.9,99.4,50.6,49.7,-10,954,964,11.4,11.5,23,49.8,-21,2258,2279,27,27.3,54.3,50.3,48,4762,4714,57,56.4,113.4,50.6,85,42.4,41.4,3543,3458,83.8,1027,985,1219,1256,50.4,43,30.1,29.6,2516,2473,2.6,2.8,48.7,8.7,6.2,90.7,52.8,71,46.9,2289,2593,1632,1659,1591,2313,1880,392,358,-34,5013.1
"105","BOS",81,"20082009",267,188,79,50.3,106.9,73.2,10.9,92.5,51,103.3,49.3,50.4,15,948,933,11.5,11.4,22.9,48.9,-103,2192,2295,26.7,27.9,54.6,50.3,44,4409,4365,53.7,53.2,106.9,50.3,46,40.9,40.4,3361,3315,81.3,901,820,1048,1050,49.6,-35,30,30.4,2460,2495,3.3,2.3,58.7,10.9,7.9,92.5,55.8,73.2,51,2360,2266,1495,1593,1538,1792,1875,407,413,6,4926.9
"106","ANA",82,"20132014",263,203,60,50.2,112.8,71.6,10.2,91.4,49.2,101.6,50.8,52.4,94,1011,917,12.2,11,23.2,50.9,84,2270,2186,27.3,26.3,53.6,50.2,29,4707,4678,56.6,56.2,112.8,51.1,152,43.1,41.3,3588,3436,84.4,1019,1082,1119,1242,52.2,215,30.9,28.3,2569,2354,3.2,2.4,56.4,10.2,7.3,91.4,54.6,71.6,49.2,2591,2676,1819,1685,1763,2024,2037,360,372,12,4990.9
