"","Name","Team","Gm","Sv%","AdSv%","SA60","TOI","Sv%L","Sv%M","Sv%H","G","S","Sh","G.L","S.L","G.M","S.M","G.H","S.H"
"huttoca85","Carter.Hutton","CHI/NSH",59,90.7,91.14,28.25,3151.5,96.98,89.57,80.11,138,1346,1484,21,674,44,378,73,294
"gigueje77","Jean-Sebastien.Giguere","ANA/TOR/COL",186,90.7,91.5,29.93,10042.6,96.01,91.25,82.02,466,4543,5009,89,2143,116,1209,261,1191
"bouchbr77","Brian.Boucher","S.J/PHI/CAR",103,90.68,91.23,27.58,5604,95.91,90.73,81.62,240,2336,2576,48,1125,67,656,125,555
"ramoxka86","Karri.Ramo","T.B/CGY",98,90.67,91.68,30.97,5232.5,96.31,91.74,81.62,252,2449,2701,42,1096,63,700,147,653
"niittan80","Antero.Niittymaki","PHI/T.B/S.J",104,90.66,91.77,30.19,5810.9,96.95,91.34,81.01,273,2651,2924,38,1209,70,738,165,704
"lieuwna91","Nathan.Lieuwen","BUF",7,90.58,91.55,31.61,362.5,96.43,89.8,82.76,18,173,191,3,81,5,44,10,48
"khabini73","Nikolai.Khabibulin","CHI/EDM",163,90.58,91.84,30.43,9359.7,96.12,92.13,82.3,447,4300,4747,74,1832,104,1217,269,1251
"mcelhcu83","Curtis.McElhinney","CGY/ANA/OTT/PHX/CBJ",124,90.56,91.39,31.34,6082.2,97.14,90.63,79.71,300,2877,3177,42,1427,76,735,182,715
"hedbejo73","Johan.Hedberg","ATL/N.J",160,90.56,91.74,28.5,8759.5,96.72,91.2,81.52,393,3768,4161,57,1679,102,1057,234,1032
"hackema90","Matt.Hackett","MIN/BUF",26,90.55,91.62,33,1289.1,98.07,89,80.3,67,642,709,6,305,22,178,39,159
"scrivbe86","Ben.Scrivens","TOR/L.A/EDM",129,90.54,91.27,30.7,7130.2,95.59,91.58,81.61,345,3303,3648,71,1540,85,924,189,839
"lindban88","Anders.Lindback","NSH/T.B/DAL/BUF",111,90.54,91.57,29.94,5931.3,96.92,91.59,80,280,2680,2960,39,1227,71,773,170,680
"emeryra82","Ray.Emery","PHI/ANA/CHI",153,90.52,91.51,28.41,8064.5,96.52,91.16,81.05,362,3457,3819,59,1636,87,897,216,924
"karlshe83","Henrik.Karlsson","CGY",26,90.48,91.26,29.29,1290.5,95.58,93.51,79.67,60,570,630,13,281,10,144,37,145
"fasthvi82","Viktor.Fasth","ANA/EDM",63,90.43,91.28,29.14,3463.2,95.89,89.79,82.81,161,1521,1682,31,724,43,378,87,419
"auldxal81","Alex.Auld","OTT/DAL/NYR/MTL",97,90.43,91.36,28.53,5139.2,96.01,90.48,82.19,234,2210,2444,41,987,68,646,125,577
"bachmri87","Richard.Bachman","DAL/EDM",41,90.39,91.13,30.5,2006.7,96.16,90.49,80.9,98,922,1020,18,451,25,238,55,233
"conklty76","Ty.Conklin","DET/STL",105,90.32,91.16,28.6,5719.2,95.97,91.45,80.49,264,2462,2726,48,1144,65,695,151,623
"budajpe82","Peter.Budaj","COL/MTL",170,90.3,91.12,28.97,9419.9,96.38,90.82,80.05,441,4107,4548,73,1942,117,1158,251,1007
"macdojo80","Joey.MacDonald","NYI/TOR/DET/CGY",116,90.28,91.44,30.75,6380.9,96.42,92.94,79.18,318,2952,3270,51,1375,60,790,207,787
"mazanma91","Marek.Mazanec","NSH",27,90.24,90.48,28.35,1475,95.34,90.09,80.37,68,629,697,15,307,21,191,32,131
"turcoma75","Marty.Turco","DAL/CHI/BOS",161,90.22,91.23,29.08,9297.6,96.31,92.54,78.93,441,4066,4507,72,1879,93,1153,276,1034
"deslaje84","Jeff.Deslauriers","EDM/ANA",61,90.21,91.28,32.62,3514.7,96.07,90.75,81.46,187,1724,1911,32,783,48,471,107,470
"leighmi81","Michael.Leighton","CAR/PHI",55,90.19,91.27,29.91,2944.8,96.52,93.87,77.34,144,1324,1468,22,610,25,383,97,331
"irvinle88","Leland.Irving","CGY",13,90.19,91.03,33.16,664.1,97.55,88.18,79.79,36,331,367,4,159,13,97,19,75
"huetxcr75","Cristobal.Huet","CHI",89,90.18,91.36,25.64,5078.4,96.09,92.07,80.42,213,1957,2170,36,885,46,534,131,538
"ersbeer82","Erik.Ersberg","L.A",39,90.17,91.02,26.2,2026.9,96.72,87.35,82.38,87,798,885,13,383,31,214,43,201
"raycran80","Andrew.Raycroft","COL/VAN/DAL",81,90.11,90.92,29.86,4064.7,96.42,90.99,78.95,200,1823,2023,32,863,52,525,116,435
"lalimpa74","Patrick.Lalime","BUF",47,90.11,91.17,30.18,2512.6,97.14,91.55,77.9,125,1139,1264,16,543,29,314,80,282
"berrare87","Reto.Berra","CGY/COL",50,90.11,91.04,29.73,2467.8,95.59,89.15,83.1,121,1102,1223,23,498,37,304,61,300
"ellisda80","Dan.Ellis","NSH/T.B/ANA/CAR/DAL/FLA",167,90.1,91.14,29.34,9009.1,96.15,91.28,80.18,436,3969,4405,74,1849,102,1068,260,1052
"gustajo84","Jonas.Gustavsson","TOR/DET",148,90.09,91.21,29.19,8130.7,96.52,89.84,81.1,392,3564,3956,59,1634,110,973,223,957
"peterju86","Justin.Peters","CAR/WSH",80,90.06,91.48,30.97,4347.3,97.47,90.82,79.18,223,2021,2244,24,923,56,554,143,544
"garonma78","Mathieu.Garon","EDM/PIT/CBJ/T.B",156,90.02,91,28.59,8113.8,96.33,89.91,80.58,386,3480,3866,61,1603,111,989,214,888
"poulike90","Kevin.Poulin","NYI",50,89.94,91.22,30.55,2733.5,96.96,89.97,80.05,140,1252,1392,18,574,38,341,84,337
"ortiojo91","Joni.Ortio","CGY",15,89.86,91.22,24.87,832.2,95.27,92.5,81.2,35,310,345,7,141,6,74,22,95
"sabouda80","Dany.Sabourin","PIT",19,89.85,91.51,28.1,988.6,97.33,93.89,76.55,47,416,463,5,182,8,123,34,111
"nilssan90","Anders.Nilsson","NYI",23,89.85,91.41,30.03,1318.6,96.11,94.18,78.5,67,593,660,10,247,11,178,46,168
"kolziol70","Olaf.Kolzig","T.B",8,89.8,90.39,35.91,409.4,94.5,91.3,80.6,25,220,245,6,103,6,63,13,54
"legacma73","Manny.Legace","STL/CAR",57,89.67,90.48,29.02,2923.1,96.81,89.34,77.95,146,1268,1414,21,637,39,327,86,304
"marksja90","Jacob.Markstrom","FLA/VAN",50,89.58,90.41,30.6,2578.1,95.43,90.19,79.79,137,1178,1315,28,585,31,285,78,308
"valiqst77","Stephen.Valiquette","NYR",21,89.44,90.91,29.23,1127,95.35,89.51,82.72,58,491,549,10,205,15,128,33,158
"climima83","Matt.Climie","DAL/PHX",5,89.21,90.83,30.1,277.1,95.92,95.65,75,15,124,139,2,47,2,44,11,33
"nilstcr84","Cristopher.Nilstorp","DAL",6,88.96,89.79,29.61,330.3,96,88.37,77.78,18,145,163,3,72,5,38,10,35
"lawsona83","Nathan.Lawson","NYI/OTT",11,88.93,91.44,38.39,395.4,98.91,85.14,81.61,28,225,253,1,91,11,63,16,71
"osgooch72","Chris.Osgood","DET",80,88.92,90.16,27.33,4538.6,95.47,88.41,80.45,229,1838,2067,39,821,67,511,123,506
"mckenmi83","Mike.McKenna","T.B/N.J/CBJ/ARI",22,88.85,89.91,31.24,1171.6,95.8,89.77,77.33,68,542,610,11,251,18,158,39,133
"leclapa82","Pascal.Leclaire","CBJ/OTT",60,88.81,89.86,28.99,3180.6,95.63,90.12,77.13,172,1365,1537,30,656,40,365,102,344
"zeppxro81","Rob.Zepp","PHI",10,88.79,89.58,25.86,517.5,96.19,84,80.88,25,198,223,4,101,8,42,13,55
"toskave77","Vesa.Toskala","TOR/CGY",84,88.72,90.21,29.61,4598.4,95.61,89.98,78.76,256,2013,2269,41,894,61,548,154,571
"dipieri81","Rick.Dipietro","NYI",48,88.64,89.83,29.52,2719.8,95.67,89.59,77.47,152,1186,1338,25,553,38,327,89,306
"curryjo84","John.Curry","PIT/MIN",8,87.88,90.2,30.42,325.4,97.01,90.24,75.44,20,145,165,2,65,4,37,14,43
"norrefr73","Fredrik.Norrena","CBJ",8,87.22,88.28,24.67,323.5,98.28,90.24,64.71,17,116,133,1,57,4,37,12,22
"stephto84","Tobias.Stephan","DAL",10,87.02,88.01,28.57,436.8,92.41,89.86,76.67,27,181,208,6,73,7,62,14,46
"josepcu67","Curtis.Joseph","TOR",20,86.95,88.31,27.33,840.9,93.63,86.79,78.33,50,333,383,10,147,14,92,26,94
"forsban92","Anton.Forsberg","CBJ",5,86.58,89.01,35.07,254.9,96.49,85.37,76.47,20,129,149,2,55,6,35,12,39
"dubiewa79","Wade.Dubielewicz","CBJ/MIN",6,86.49,86.89,24.83,268.2,91.23,92,72.41,15,96,111,5,52,2,23,8,21
"thiesbr86","Brad.Thiessen","PIT",5,85.84,86.79,26.33,257.5,100,78.38,66.67,16,97,113,0,52,8,29,8,16
"poggeju86","Justin.Pogge","TOR",7,84.39,86.31,27.93,371.7,93.85,87.72,68.63,27,146,173,4,61,7,50,16,35
